l n beta
1 1 0.8854817714985266
1 2 0.9965413420411573
1 3 0.9860693084396399
1 4 0.9822269009500511
1 5 0.9812463375481858
1 6 0.9826194989546299
1 7 0.9841404063007919
1 8 0.9858695862488164
1 9 0.9876438675283182
1 10 0.9890338231434619
1 11 0.9903503006042852
1 12 0.9912968092280831
1 13 0.9920699868794678
1 14 0.9928474121079527
1 15 0.9934739353320656
1 16 0.9940475937708799
1 17 0.9945252179386271
1 18 0.9948993307668574
1 19 0.9952818048753080
1 20 0.9956123408502122
1 21 0.9959074141845160
1 22 0.9961873445019415
1 23 0.9964146867854793
1 24 0.9966367147024450
1 25 0.9968391503818015
1 26 0.9970167589657895
1 27 0.9971925433520132
1 28 0.9973442639960086
1 29 0.9974886966840192
1 30 0.9976240564327195
1 31 0.9977423541359154
1 32 0.9978612438784596
1 33 0.9979661055736720
1 34 0.9980634368623107
2 0 0.8302081876022760
2 1 0.8066079481149034
2 2 0.8897019726441203
2 3 0.9365124438870052
2 4 0.9573588161615741
2 5 0.9677394522272198
2 6 0.9737348820118247
2 7 0.9784194593711751
2 8 0.9814814927285117
2 9 0.9842956772693511
2 10 0.9864314374940174
2 11 0.9880065693383191
2 12 0.9893581755740083
2 13 0.9903893936744866
2 14 0.9913849937949555
2 15 0.9922749455736661
2 16 0.9929446494457654
2 17 0.9935548010450110
2 18 0.9940664238032918
2 19 0.9945257422182173
2 20 0.9949739810900452
2 21 0.9953397254677130
2 22 0.9956778556639023
2 23 0.9959830596626414
2 24 0.9962441613004223
2 25 0.9965002845539833
2 26 0.9967201913931584
2 27 0.9969219641528948
2 28 0.9971147416669738
2 29 0.9972788399343784
2 30 0.9974380696080135
2 31 0.9975819855998762
2 32 0.9977132729426886
2 33 0.9978394652953781
2 34 0.9979491948690605
3 0 0.9288083664540016
3 1 0.8780421436147702
3 2 0.9129414689251998
3 3 0.9438066633446983
3 4 0.9588107986228624
3 5 0.9691495966491532
3 6 0.9748450844158617
3 7 0.9793626950418500
3 8 0.9826071319909604
3 9 0.9850386553860321
3 10 0.9871095180197027
3 11 0.9884713991485332
3 12 0.9896242105812053
3 13 0.9906793138487737
3 14 0.9915433951405096
3 15 0.9923617858037308
3 16 0.9929991259365163
3 17 0.9935196131553165
3 18 0.9940398912843126
3 19 0.9944791846965050
3 20 0.9948913693977373
3 21 0.9952670637439465
3 22 0.9955771057167320
3 23 0.9958824868749295
3 24 0.9961513909297144
3 25 0.9963947736767235
3 26 0.9966289803807773
3 27 0.9968295621832093
3 28 0.9970233132063491
3 29 0.9971988162110255
3 30 0.9973544455720081
3 31 0.9975084353914955
3 32 0.9976426272596504
3 33 0.9977688429787716
