n	l	Freqs	delta	e_delta
6	1	1039.56	450	49
7	1	1185.65	416	29
8	1	1329.74	406	125
9	1	1473.02	422	29
10	1	1612.78	417	22
11	1	1749.45	423	14
12	1	1885.17	401	33
13	1	2020.74	424	29
14	1	2156.92	420	54
15	1	2292.35	324	49
16	1	2426.46	377	52
17	1	2560.74	431	30
18	1	2695.50	400	99
19	1	2831.06	406	81
20	1	2967.14	427	19
21	1	3103.05	434	24
22	1	3239.29	476	46
23	1	3375.87	443	17
24	1	3512.74	417	26
25	1	3650.14	464	41
26	1	3787.60	456	56
27	1	3925.35	426	16
5	2	959.90	509	85
6	2	1105.20	417	62
7	2	1250.77	398	67
8	2	1394.75	400	10
9	2	1536.03	407	7
10	2	1674.73	391	12
11	2	1810.34	399	19
12	2	1945.89	390	22
13	2	2082.13	397	14
14	2	2217.84	394	23
15	2	2352.95	403	14
16	2	2487.12	395	18
17	2	2621.50	407	16
18	2	2757.05	390	14
19	2	2892.90	395	13
20	2	3029.07	397	12
21	2	3165.39	404	14
22	2	3301.76	399	21
23	2	3438.77	399	18
24	2	3576.04	424	14
25	2	3713.57	401	54
26	2	3851.45	423	77
27	2	3989.35	396	173
28	2	4127.50	465	109
29	2	4265.69	431	51
30	2	4403.90	502	136
31	2	4542.27	404	164
32	2	4680.36	395	94
5	3	1015.05	416	221
6	3	1161.72	393	3
7	3	1306.84	404	8
8	3	1451.11	396	6
9	3	1591.60	398	3
10	3	1729.28	405	4
11	3	1865.32	95	7
12	3	2001.16	401	3
13	3	2137.91	386	13
14	3	2273.78	390	6
15	3	2408.51	395	10
16	3	2543.21	401	10
17	3	2678.23	396	8
18	3	2814.26	399	3
19	3	2950.75	402	5
20	3	3087.10	395	10
21	3	3223.82	391	12
22	3	3360.74	395	11
23	3	3498.05	399	17
24	3	3635.86	398	19
25	3	3773.70	408	48
26	3	3911.87	397	8
27	3	4050.21	401	28
28	3	4188.51	441	60
29	3	4327.05	399	165
30	3	4465.52	376	160
